city,temp_max,humidity,wind_speed,cloudiness,country,date,longitude,latitude
Torres,25.18,74,4.43,0,BR,1608044062,-49.73,-29.34
Caravelas,29.67,53,4.13,69,BR,1608044063,-39.25,-17.71
Quatre Cocos,25.56,94,6.2,75,MU,1608044064,57.76,-20.21
Pala,36.54,9,3.46,6,TD,1608044065,14.9,9.36
Finnsnes,-5.0,100,3.1,75,NO,1608044066,17.98,69.23
Avilés,15.56,58,1.0,0,ES,1608044068,-5.92,43.55
Praxédis Guerrero,5.56,38,5.1,5,MX,1608044069,-106.02,31.37
Namatanai,27.17,79,1.76,34,PG,1608044070,152.43,-3.67
Enid,-1.0,92,5.7,90,US,1608043805,-97.88,36.4
Maceió,27.0,78,4.6,75,BR,1608044072,-35.74,-9.67
Margate,11.67,72,1.79,0,GB,1608044073,1.39,51.38
Labuhan,24.66,91,4.1,100,ID,1608044074,112.21,-6.88
Port Hedland,27.0,78,3.6,9,AU,1608044075,118.57,-20.32
Kjøpsvik,1.11,86,4.1,75,NO,1608044076,16.37,68.1
Vigrestad,8.0,93,3.6,75,NO,1608044077,5.7,58.57
Ketchikan,6.0,75,6.7,90,US,1608044078,-131.65,55.34
Gushikawa,15.0,87,6.2,90,JP,1608044079,127.87,26.35
Yulara,25.0,73,6.2,90,AU,1608044080,130.99,-25.24
Talara,23.0,73,5.7,40,PE,1608044082,-81.27,-4.58
Mehamn,1.0,86,1.5,75,NO,1608044083,27.85,71.04
Gautier,7.0,75,4.6,90,US,1608044084,-88.61,30.39
Sierra Vista,1.11,64,4.6,1,US,1608043974,-110.3,31.55
Khanpur,14.1,36,3.66,0,PK,1608044086,70.66,28.65
Tsimmerbude,1.0,76,4.0,90,RU,1608044087,20.13,54.67
Haines Junction,-15.0,84,0.5,100,CA,1608044088,-137.51,60.75
Willmar,-9.0,72,6.2,40,US,1608043901,-95.04,45.12
Sorong,28.06,76,3.56,100,ID,1608044090,131.25,-0.88
Tommot,-32.84,77,0.42,0,RU,1608044091,126.29,58.96
Shellbrook,-20.0,83,1.0,40,CA,1608044092,-106.4,53.22
Nísia Floresta,31.0,66,7.2,75,BR,1608044094,-35.21,-6.09
Ushtobe,-14.44,87,0.59,0,KZ,1608044095,77.98,45.25
Nangong,-4.72,68,1.89,0,CN,1608044096,115.37,37.36
Cairns,27.0,78,3.1,40,AU,1608043862,145.77,-16.92
Ransang,26.56,80,1.75,80,PH,1608044098,117.58,8.96
Cockburn Town,26.0,69,4.1,81,TC,1608044099,-71.14,21.46
Saint-Pierre,25.0,88,8.2,80,RE,1608043883,55.48,-21.34
Havelock,6.11,80,5.7,90,US,1608043835,-76.9,34.88
Pemberton,2.78,93,2.7,100,CA,1608044103,-122.8,50.32
Chabahar,20.0,49,3.1,0,IR,1608044104,60.64,25.29
Cabra,15.0,63,2.14,0,ES,1608044105,-4.44,37.47
Tortosa,17.78,55,1.34,39,ES,1608043964,0.52,40.81
Daru,26.87,84,5.05,87,PG,1608044107,143.21,-9.08
Usinsk,-12.67,96,5.12,94,RU,1608044109,57.53,65.99
Aba,30.3,64,1.82,100,NG,1608044110,7.37,5.11
Najrān,22.0,24,4.1,0,SA,1608044111,44.13,17.49
Karlskrona,6.0,100,3.1,75,SE,1608044112,15.59,56.16
Pervomayskiy,-4.44,76,2.93,94,RU,1608044113,40.29,53.25
Imatra,-1.67,94,3.65,100,FI,1608044114,28.75,61.17
Mathathane,22.82,65,4.41,99,BW,1608044115,28.75,-22.27
Nālūt,17.72,28,2.62,29,LY,1608044116,10.85,30.33
Leona Vicario,24.0,88,0.95,40,MX,1608044117,-87.19,20.97
Alta Floresta,30.0,66,2.1,40,BR,1608044119,-56.09,-9.88
Lander,-9.0,85,1.64,1,US,1608044120,-108.73,42.83
Bilky,5.0,86,1.5,90,UA,1608044121,23.13,48.31
Taoudenni,29.16,15,2.9,37,ML,1608044122,-3.98,22.68
Pauini,29.71,60,1.17,100,BR,1608044063,-66.98,-7.71
Reserva,23.18,76,2.53,84,BR,1608044124,-50.85,-24.65
Province of Mantua,8.33,93,1.34,100,IT,1608044125,10.78,45.17
Kokoda,24.34,73,0.29,97,PG,1608044126,147.74,-8.88
Cherkasskoye,-8.82,96,2.61,100,RU,1608044128,47.22,52.43
